Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nick Suzuki,MON,C,56,15,26,41,-5,26,110,1,5,8,1,1,70,38
Martin Necas,CAR,C,53,14,27,41,25,10,114,3,4,7,2,2,45,32
Quinn Hughes,VAN,D,56,3,38,41,-24,22,98,0,0,19,0,0,18,43
Sam Reinhart,FLA,RW,54,25,15,40,-28,10,130,5,10,6,0,0,15,27
Kevin Fiala,MIN,LW,50,20,20,40,-2,43,162,5,6,8,0,0,27,13
Bo Horvat,VAN,C,56,19,20,39,-6,23,131,3,7,4,1,0,64,38
Andrew Copp,NYR,C,55,15,24,39,2,20,115,1,6,6,0,1,67,41
William Karlsson,VGK,C,56,14,25,39,19,4,111,4,1,7,0,1,29,29
Conor Garland,VAN,RW,49,12,27,39,-3,26,135,1,3,7,0,0,26,19
Joel Farabee,PHI,LW,55,20,18,38,0,28,122,1,3,4,0,0,48,21
Dominik Kubalik,CHI,LW,56,17,21,38,-3,18,156,1,4,10,0,0,57,17
Jordan Staal,CAR,C,53,16,22,38,2,30,103,4,7,7,0,1,135,24
Jakub Vrana,DET,RW,50,19,17,36,10,10,100,7,0,5,0,0,29,8
Carter Verhaeghe,FLA,C,43,18,18,36,24,31,107,3,1,1,1,0,33,14
Brady Tkachuk,OTT,LW,56,17,19,36,-17,69,220,3,5,5,0,0,248,23
Mike Hoffman,MON,LW,52,17,19,36,2,10,113,3,7,10,0,0,29,12
Yanni Gourde,SEA,LW,56,17,19,36,10,44,118,4,2,4,0,0,51,21
Darnell Nurse,EDM,D,56,16,20,36,27,57,154,2,1,6,0,0,117,100
Brayden Schenn,STL,C,56,16,20,36,-2,35,113,2,6,3,0,0,119,35
John Klingberg,DAL,D,53,7,29,36,-15,23,108,1,2,15,0,0,49,52
MacKenzie Weegar,FLA,D,54,6,30,36,29,45,101,1,0,3,0,2,118,83
Connor Brown,OTT,RW,56,21,14,35,1,12,123,1,1,3,5,0,22,30
Josh Norris,OTT,C,56,17,18,35,-12,13,96,2,6,8,0,0,72,34
Pavel Zacha,NJ,C,50,17,18,35,-11,10,103,4,5,6,0,0,42,10
Ryan Nugent-Hopkins,EDM,LW,52,16,19,35,-4,22,135,2,9,11,0,0,26,29
Chandler Stephenson,VGK,C,51,14,21,35,22,29,83,5,2,3,1,1,43,35
Clayton Keller,ARI,C,56,14,21,35,-5,18,124,3,4,6,0,0,20,14
Jordan Kyrou,STL,RW,55,14,21,35,1,12,98,2,0,3,0,0,7,13
Mats Zuccarello,MIN,RW,42,11,24,35,9,8,74,0,3,3,0,0,12,19
Jamie Benn,DAL,C,52,11,24,35,13,33,124,2,3,6,0,0,73,27
Josh Bailey,NYI,LW,54,8,27,35,12,4,77,1,0,9,0,0,13,19
Morgan Rielly,TOR,D,55,5,30,35,11,14,101,1,1,11,0,1,63,61
Nino Niederreiter,CAR,RW,56,20,14,34,20,29,126,4,4,1,0,0,68,17
Drake Batherson,OTT,RW,56,17,17,34,-17,8,111,3,5,10,0,0,102,29
Steven Stamkos,TB,C,38,17,17,34,4,16,91,1,10,5,0,1,38,10
Cam Atkinson,PHI,RW,56,15,19,34,-16,4,158,2,1,8,4,0,22,30
Jack Roslovic,CLS,RW,48,12,22,34,-11,14,85,1,4,6,0,0,34,22
Travis Konecny,PHI,C,50,11,23,34,-5,26,100,1,4,7,0,0,55,16
Drew Doughty,LA,D,56,8,26,34,-14,26,101,0,6,12,0,1,91,83
Alex Tuch,BUF,RW,55,18,15,33,16,28,142,3,2,2,0,0,52,36
Brock Nelson,NYI,C,56,18,15,33,-5,14,121,4,7,2,0,0,36,26
Jordan Eberle,SEA,RW,55,16,17,33,9,16,128,2,1,4,0,0,30,18
Max Comtois,ANH,LW,55,16,17,33,3,40,94,3,1,3,0,0,93,34
Alex Killorn,TB,C,56,15,18,33,-1,37,121,1,5,4,0,1,59,12
Zach Hyman,EDM,RW,43,15,18,33,19,28,115,4,3,2,0,0,69,21
Tom Wilson,WAS,RW,47,13,20,33,1,96,83,4,4,4,1,0,105,25
Taylor Hall,BOS,LW,53,10,23,33,-6,26,136,1,2,6,0,0,34,15
Roman Josi,NSH,D,48,8,25,33,-11,20,141,3,1,13,0,1,27,83
Andrew Mangiapane,CGY,LW,56,18,14,32,1,24,91,4,2,3,1,0,51,33
Jared McCann,SEA,C,43,14,18,32,17,8,93,3,7,3,0,0,40,17
Patric Hornqvist,FLA,RW,44,14,18,32,-3,39,145,2,8,4,0,0,80,23
Craig Smith,BOS,RW,54,13,19,32,21,18,132,4,4,2,0,0,66,8
Victor Olofsson,BUF,LW,56,13,19,32,-23,6,129,0,7,8,0,0,17,12
Filip Forsberg,NSH,RW,39,12,20,32,-9,16,129,3,3,10,0,0,47,14
Nazem Kadri,COL,C,56,11,21,32,-7,34,170,3,3,6,0,0,36,19
Nick Schmaltz,ARI,RW,52,10,22,32,-1,16,105,1,3,4,0,0,15,25
Anthony Duclair,FLA,LW,43,10,22,32,27,18,104,1,1,1,0,1,32,9
Mikael Backlund,CGY,C,54,9,23,32,-7,30,144,1,0,6,1,1,43,21
Alec Martinez,VGK,D,53,9,23,32,26,12,85,2,3,6,0,0,44,168
Jordan Greenway,MIN,LW,56,6,26,32,5,49,80,0,0,1,0,0,87,28
Samuel Girard,COL,D,48,5,27,32,15,16,79,0,0,9,0,0,31,52
Neal Pionk,WPG,D,54,3,29,32,6,20,100,0,1,9,0,0,137,74
Torey Krug,STL,D,51,2,30,32,11,25,110,0,1,12,0,0,51,57
Joonas Donskoi,SEA,RW,51,17,14,31,14,10,86,3,5,3,0,0,14,25
Logan Couture,SJ,C,53,17,14,31,-11,25,114,2,2,4,1,0,58,39
Dustin Brown,LA,RW,49,17,14,31,-3,18,129,1,9,2,0,0,85,10
Christian Dvorak,MON,LW,56,17,14,31,-11,12,95,4,8,3,1,0,48,45
Blake Coleman,CGY,C,55,14,17,31,15,37,122,3,1,0,1,0,109,20
Timo Meier,SJ,LW,54,12,19,31,-5,22,155,0,2,8,0,0,75,24
Kevin Hayes,PHI,C,55,12,19,31,-2,22,127,2,3,6,0,0,60,14
Jack Hughes,NJ,C,56,11,20,31,-3,16,142,1,1,6,0,0,15,15
Devon Toews,COL,D,53,9,22,31,29,16,121,2,2,4,0,0,44,87
Thomas Chabot,OTT,D,49,6,25,31,-15,36,120,1,1,6,0,0,68,72
Nick Leddy,STL,D,56,2,29,31,-3,8,79,1,1,10,0,0,58,54
Chris Kreider,NYR,LW,50,20,10,30,-1,34,102,4,11,3,0,0,115,35
