Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Connor McDavid,EDM,F,82,64,89,153,1.87,320.1,3.9,71,7,352,89,40
David Pastrnak,BOS,F,82,61,52,113,1.38,258.8,3.1,37,0,407,91,33
Mikko Rantanen,COL,F,82,55,50,105,1.28,237.3,2.9,37,0,306,77,41
Leon Draisaitl,EDM,F,80,52,76,128,1.6,263.3,3.3,62,2,247,66,40
Brayden Point,TB,F,82,51,44,95,1.16,206.7,2.5,30,0,235,37,37
Tage Thompson,BUF,F,78,47,47,94,1.21,206.5,2.6,34,1,295,55,26
Jason Robertson,DAL,F,82,46,63,109,1.33,222.0,2.7,41,0,313,57,19
Jack Hughes,NJ,F,78,43,56,99,1.27,207.3,2.7,31,0,336,12,30
Alex Ovechkin,WAS,F,73,42,33,75,1.03,189.2,2.6,25,0,294,188,23
Mark Scheifele,WPG,F,81,42,26,68,0.84,165.6,2.0,22,0,206,50,38
Nathan MacKinnon,COL,F,71,42,69,111,1.56,231.9,3.3,34,0,366,53,40
Carter Verhaeghe,FLA,F,81,42,31,73,0.9,167.4,2.1,13,0,275,29,31
Adrian Kempe,LA,F,82,41,26,67,0.82,172.4,2.1,20,3,250,119,32
Kirill Kaprizov,MIN,F,67,40,35,75,1.12,177.7,2.6,32,0,261,66,28
Timo Meier,NJ,F,78,40,26,66,0.85,184.1,2.4,23,0,327,154,37
Matthew Tkachuk,FLA,F,79,40,69,109,1.38,222.0,2.8,36,1,322,68,31
William Nylander,TOR,F,82,40,47,87,1.06,185.1,2.3,28,0,293,18,26
Auston Matthews,TOR,F,74,40,45,85,1.15,225.5,3.0,28,0,327,78,92
Jared McCann,SEA,F,79,40,30,70,0.89,161.0,2.0,16,3,210,65,28
Mika Zibanejad,NYR,F,82,39,52,91,1.11,206.7,2.5,39,2,251,71,48
Tim Stutzle,OTT,F,78,39,51,90,1.15,203.2,2.6,28,3,228,114,49
Elias Pettersson,VAN,F,80,39,63,102,1.27,235.6,2.9,25,9,257,74,89
