Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Andrei Kuzmenko,CGY,F,81,39,35,74,0.91,147.1,1.8,19,0,143,13,18
Bo Horvat,NYI,F,79,38,32,70,0.89,177.6,2.2,22,5,229,57,55
Jordan Kyrou,STL,F,79,37,36,73,0.92,168.1,2.1,23,1,272,14,35
Clayton Keller,ARI,F,82,37,49,86,1.05,174.6,2.1,20,1,223,18,34
Ryan Nugent-Hopkins,EDM,F,82,37,67,104,1.27,207.4,2.5,53,4,201,48,26
Roope Hintz,DAL,F,73,37,38,75,1.03,169.6,2.3,21,3,184,47,45
Zach Hyman,EDM,F,79,36,47,83,1.05,176.8,2.2,26,0,276,77,19
Sebastian Aho,CAR,F,75,36,31,67,0.89,150.7,2.0,15,4,218,59,21
Alex Tuch,BUF,F,74,36,43,79,1.07,175.7,2.4,20,1,218,54,46
John Tavares,TOR,F,80,36,44,80,1.0,192.4,2.4,39,0,277,112,36
Brock Nelson,NYI,F,82,36,39,75,0.91,168.2,2.0,17,0,222,50,43
Chris Kreider,NYR,F,79,36,18,54,0.68,148.2,1.9,17,4,229,128,24
Jake Guentzel,PIT,F,78,36,37,73,0.94,176.2,2.3,23,0,244,83,46
Brady Tkachuk,OTT,F,82,35,48,83,1.01,195.9,2.4,29,0,347,242,9
Claude Giroux,OTT,F,82,35,44,79,0.96,170.4,2.1,24,1,214,75,30
Jeff Skinner,BUF,F,79,35,47,82,1.04,160.8,2.0,21,0,242,21,14
Tyler Toffoli,NJ,F,82,34,39,73,0.89,159.2,1.9,25,0,268,59,14
Steven Stamkos,TB,F,81,34,50,84,1.04,194.2,2.4,35,0,240,92,51
Sidney Crosby,PIT,F,82,33,60,93,1.13,195.6,2.4,27,0,255,71,47
Jamie Benn,DAL,F,82,33,45,78,0.95,175.2,2.1,30,3,190,97,38
Dylan Larkin,DET,F,80,32,47,79,0.99,169.6,2.1,31,1,244,47,27
Jesper Bratt,NJ,F,82,32,41,73,0.89,151.1,1.8,22,0,212,24,23
J.T. Miller,VAN,F,81,32,50,82,1.01,201.3,2.5,30,9,223,200,51
Kyle Connor,WPG,F,82,31,49,80,0.98,169.1,2.1,29,0,273,43,24
Travis Konecny,PHI,F,60,31,30,61,1.02,146.1,2.4,15,6,191,55,38
Nico Hischier,NJ,F,81,31,49,80,0.99,182.0,2.2,19,4,256,34,61
Matt Boldy,MIN,F,81,31,32,63,0.78,152.0,1.9,26,0,255,65,26
Sam Reinhart,FLA,F,82,31,36,67,0.82,166.0,2.0,27,3,227,58,49
Dylan Cozens,BUF,F,81,31,37,68,0.84,151.1,1.9,18,3,211,55,30
Nikita Kucherov,TB,F,82,30,83,113,1.38,215.2,2.6,50,0,271,61,28
Brandon Hagel,TB,F,81,30,34,64,0.79,155.6,1.9,13,3,178,68,58
Mitchell Marner,TOR,F,80,30,69,99,1.24,196.9,2.5,36,5,196,53,45
Artemi Panarin,NYR,F,82,29,63,92,1.12,167.5,2.0,36,0,204,26,11
Anders Lee,NYI,F,82,28,22,50,0.61,147.4,1.8,14,0,214,125,57
Rickard Rakell,PIT,F,82,28,32,60,0.73,163.4,2.0,21,0,243,141,53
Victor Olofsson,BUF,F,75,28,12,40,0.53,99.2,1.3,12,0,161,16,15
Martin Necas,CAR,F,82,28,43,71,0.87,152.7,1.9,26,1,240,57,21
Jonathan Marchessault,VGK,F,76,28,29,57,0.75,132.5,1.7,16,0,234,76,17
Joe Pavelski,DAL,F,82,28,49,77,0.94,178.7,2.2,27,1,184,93,64
Anze Kopitar,LA,F,82,28,46,74,0.9,179.7,2.2,20,1,169,68,87
Jack Eichel,VGK,F,67,27,39,66,0.99,156.7,2.3,14,1,223,59,56
Pierre-Luc Dubois,LA,F,73,27,36,63,0.86,152.6,2.1,23,0,205,71,47
Alex DeBrincat,DET,F,82,27,39,66,0.8,164.2,2.0,30,0,263,109,38
Jason Zucker,ARI,F,78,27,21,48,0.62,133.4,1.7,9,0,197,197,29
Alex Killorn,ANH,F,82,27,37,64,0.78,133.9,1.6,12,2,143,61,31
Jake DeBrusk,BOS,F,64,27,23,50,0.78,123.1,1.9,14,1,191,85,22
Patrice Bergeron,FA,F,78,27,31,58,0.74,154.0,2.0,19,2,249,66,54
Owen Tippett,PHI,F,77,27,22,49,0.64,152.1,2.0,12,0,231,125,69
Dawson Mercer,NJ,F,82,27,29,56,0.68,140.2,1.7,10,2,161,36,63
Logan Couture,SJ,F,82,27,40,67,0.82,172.1,2.1,20,1,198,128,70
Evgeni Malkin,PIT,F,82,27,56,83,1.01,173.8,2.1,36,0,240,53,33
Pavel Buchnevich,STL,F,63,26,41,67,1.06,133.7,2.1,21,2,123,54,23
Reilly Smith,PIT,F,78,26,30,56,0.72,129.9,1.7,10,4,180,69,32
Boone Jenner,CLS,F,68,26,19,45,0.66,145.8,2.1,11,0,214,129,70
Viktor Arvidsson,LA,F,77,26,33,59,0.77,147.3,1.9,25,1,228,25,48
Nick Suzuki,MON,F,82,26,40,66,0.8,151.2,1.8,17,3,162,50,56
Cole Caufield,MON,F,46,26,10,36,0.78,90.6,2.0,10,0,158,18,12
Erik Karlsson,PIT,D,82,25,76,101,1.23,208.7,2.5,27,0,209,33,90
Matty Beniers,SEA,F,80,24,33,57,0.71,133.2,1.7,10,1,148,79,48
Nino Niederreiter,WPG,F,78,24,17,41,0.53,119.6,1.5,7,0,181,165,33
David Perron,DET,F,82,24,32,56,0.68,133.2,1.6,22,0,195,107,24
Wyatt Johnston,DAL,F,82,24,17,41,0.5,102.2,1.2,7,0,160,22,31
Nazem Kadri,CGY,F,82,24,32,56,0.68,141.6,1.7,19,0,267,99,31
Lawson Crouse,ARI,F,77,24,21,45,0.58,136.5,1.8,8,0,151,194,58
Troy Terry,ANH,F,70,23,38,61,0.87,121.5,1.7,12,0,188,12,23
Trevor Zegras,ANH,F,81,23,42,65,0.8,134.0,1.7,17,0,184,46,29
Michael Bunting,CAR,F,82,23,26,49,0.6,111.9,1.4,10,0,174,85,18
Andrei Svechnikov,CAR,F,64,23,32,55,0.86,129.0,2.0,16,0,205,140,17
Aleksander Barkov,FLA,F,68,23,55,78,1.15,167.0,2.5,30,2,208,52,48
Kevin Fiala,LA,F,69,23,49,72,1.04,142.1,2.1,24,0,208,53,18
Joel Eriksson Ek,MIN,F,78,23,38,61,0.78,161.1,2.1,23,3,247,119,55
Dylan Strome,WAS,F,81,23,42,65,0.8,137.4,1.7,21,0,154,20,43
Gabriel Vilardi,WPG,F,63,23,18,41,0.65,101.3,1.6,9,0,122,41,33
Elias Lindholm,VAN,F,80,22,42,64,0.8,151.4,1.9,21,3,186,98,50
Tomas Hertl,SJ,F,79,22,41,63,0.8,151.9,1.9,22,0,183,91,57
Drake Batherson,OTT,F,82,22,40,62,0.76,152.4,1.9,29,0,249,115,35
Filip Chytil,NYR,F,74,22,23,45,0.61,109.8,1.5,5,0,177,36,38
Vincent Trocheck,NYR,F,82,22,42,64,0.78,157.2,1.9,17,0,225,182,44
Mats Zuccarello,MIN,F,78,22,45,67,0.86,153.9,2.0,29,0,198,51,51
Dougie Hamilton,NJ,D,82,22,52,74,0.9,186.9,2.3,28,0,275,64,86
Matt Duchene,DAL,F,71,22,34,56,0.79,120.0,1.7,13,0,168,27,32
Patrik Laine,CLS,F,55,22,30,52,0.95,116.6,2.1,16,0,184,27,27
Frank Vatrano,ANH,F,81,22,19,41,0.51,136.7,1.7,9,0,231,86,75
Nick Schmaltz,ARI,F,63,22,36,58,0.92,114.9,1.8,12,1,132,12,28
Adam Henrique,ANH,F,62,22,16,38,0.61,104.0,1.7,10,0,132,28,46
Pavel Zacha,BOS,F,82,21,36,57,0.7,112.8,1.4,8,1,131,67,21
Brad Marchand,BOS,F,73,21,46,67,0.92,140.4,1.9,29,1,183,81,22
Kirill Marchenko,CLS,F,59,21,4,25,0.42,86.0,1.5,8,0,131,34,39
Zach Parise,COL,F,82,21,13,34,0.41,127.1,1.5,4,3,182,89,83
Johnny Gaudreau,CLS,F,80,21,53,74,0.93,138.5,1.7,24,0,220,5,18
Tyler Seguin,DAL,F,76,21,29,50,0.66,116.3,1.5,11,2,189,84,23
Artturi Lehkonen,COL,F,64,21,30,51,0.8,128.3,2.0,20,1,150,93,43
Patrick Kane,DET,F,73,21,36,57,0.78,122.5,1.7,22,0,227,13,19
Daniel Sprong,DET,F,66,21,25,46,0.7,100.5,1.5,14,0,147,33,17
Josh Anderson,MON,F,69,21,11,32,0.46,110.3,1.6,4,1,164,139,49
Brayden Schenn,STL,F,82,21,44,65,0.79,142.4,1.7,15,0,144,140,41
Jaden Schwartz,SEA,F,71,21,19,40,0.56,99.7,1.4,8,0,167,55,25
Jordan Eberle,SEA,F,82,20,43,63,0.77,125.1,1.5,15,0,177,44,25
Tomas Tatar,SEA,F,82,20,28,48,0.59,106.8,1.3,4,0,153,65,30
Oliver Bjorkstrand,SEA,F,81,20,25,45,0.56,115.1,1.4,10,0,198,63,38
Calle Jarnkrok,TOR,F,73,20,19,39,0.53,88.1,1.2,5,3,106,50,19
Max Domi,TOR,F,80,20,36,56,0.7,117.6,1.5,19,0,179,22,24
Dominik Kubalik,OTT,F,81,20,25,45,0.56,112.8,1.4,17,0,174,89,26
Shane Pinto,OTT,F,82,20,15,35,0.43,106.9,1.3,9,0,158,71,49
Bryan Rust,PIT,F,81,20,26,46,0.57,127.9,1.6,11,1,211,98,50
Taylor Raddysh,CHI,F,78,20,17,37,0.47,104.6,1.3,15,0,129,82,38
Andreas Athanasiou,CHI,F,81,20,20,40,0.49,107.3,1.3,7,0,175,43,44
Mikael Backlund,CGY,F,82,19,37,56,0.68,134.2,1.6,12,4,260,97,31
Barrett Hayton,ARI,F,82,19,24,43,0.52,110.1,1.3,10,1,178,83,33
Filip Forsberg,NSH,F,50,19,23,42,0.84,101.8,2.0,13,0,157,86,20
Marcus Johansson,MIN,F,80,19,27,46,0.57,102.8,1.3,18,2,137,26,23
Frederick Gaudreau,MIN,F,82,19,19,38,0.46,105.5,1.3,4,5,138,42,52
Morgan Frost,PHI,F,81,19,27,46,0.57,118.0,1.5,5,0,155,85,53
Brandon Saad,STL,F,71,19,18,37,0.52,90.1,1.3,4,3,127,24,31
T.J. Oshie,WAS,F,58,19,16,35,0.6,101.6,1.7,11,0,126,125,34
Brock Boeser,VAN,F,74,18,37,55,0.74,119.7,1.6,16,0,178,49,32
Kevin Hayes,STL,F,81,18,36,54,0.67,117.1,1.4,16,0,209,52,22
Eeli Tolvanen,SEA,F,61,18,13,31,0.51,98.7,1.6,7,0,116,91,51
Robert Thomas,STL,F,73,18,47,65,0.89,121.1,1.7,22,1,106,15,29
Scott Laughton,PHI,F,78,18,25,43,0.55,130.1,1.7,9,7,170,156,57
Vladimir Tarasenko,OTT,F,69,18,32,50,0.72,117.9,1.7,14,1,169,75,36
Kaapo Kakko,NYR,F,82,18,22,40,0.49,88.1,1.1,3,0,125,26,27
Phillip Danault,LA,F,82,18,36,54,0.66,143.8,1.7,20,2,152,81,75
Roman Josi,NSH,D,67,18,41,59,0.88,194.0,2.9,24,0,269,51,146
Blake Coleman,CGY,F,82,18,20,38,0.46,106.0,1.3,0,2,188,107,39
Jesperi Kotkaniemi,CAR,F,82,18,25,43,0.52,100.9,1.2,11,1,129,105,21
Brady Skjei,CAR,D,81,18,20,38,0.47,116.9,1.4,7,1,188,71,62
Brent Burns,CAR,D,82,18,43,61,0.74,163.0,2.0,23,0,255,40,86
Anthony Beauvillier,CHI,F,82,18,22,40,0.49,100.4,1.2,4,0,176,78,30
Dillon Dube,CGY,F,82,18,27,45,0.55,105.2,1.3,4,2,151,136,21
Jordan Staal,CAR,F,81,17,17,34,0.42,99.4,1.2,0,2,124,155,39
Trent Frederic,BOS,F,79,17,14,31,0.39,89.0,1.1,0,1,120,105,36
Andrew Mangiapane,CGY,F,82,17,26,43,0.52,102.8,1.2,4,2,182,86,26
Nick Bjugstad,ARI,F,78,17,12,29,0.37,100.3,1.3,1,1,145,168,44
Mason McTavish,ANH,F,80,17,26,43,0.54,107.1,1.3,14,0,161,55,37
Thomas Novak,NSH,F,51,17,26,43,0.84,87.7,1.7,12,0,93,9,23
Lucas Raymond,DET,F,74,17,28,45,0.61,99.2,1.3,19,0,134,43,20
Eetu Luostarinen,FLA,F,82,17,26,43,0.52,108.1,1.3,5,1,132,64,51
Mark Stone,VGK,F,43,17,21,38,0.88,86.4,2.0,9,2,113,31,23
J.T. Compher,DET,F,82,17,35,52,0.63,136.1,1.7,14,0,154,37,82
Valeri Nichushkin,COL,F,53,17,30,47,0.89,113.2,2.1,16,3,158,54,37
Cale Makar,COL,D,60,17,49,66,1.1,161.1,2.7,30,0,176,65,78
Pierre Engvall,NYI,F,76,17,13,30,0.39,69.3,0.9,3,0,131,47,6
Nick Paul,TB,F,80,17,15,32,0.4,97.6,1.2,4,1,120,111,46
Conor Garland,VAN,F,81,17,29,46,0.57,100.4,1.2,12,0,167,47,20
Josh Morrissey,WPG,D,78,16,60,76,0.97,191.6,2.4,28,0,172,89,119
Brandon Tanev,SEA,F,82,16,19,35,0.43,116.0,1.4,0,1,115,190,68
Kyle Palmieri,NYI,F,55,16,17,33,0.6,79.8,1.4,5,0,122,76,17
Alexis Lafreniere,NYR,F,81,16,23,39,0.48,98.6,1.2,4,0,135,141,28
Blake Wheeler,NYR,F,72,16,39,55,0.76,114.0,1.6,15,0,126,54,35
Ross Colton,COL,F,81,16,16,32,0.4,100.6,1.2,9,0,153,188,28
Chandler Stephenson,VGK,F,81,16,49,65,0.8,137.4,1.7,15,3,120,74,56
William Carrier,VGK,F,56,16,9,25,0.45,77.1,1.4,0,0,118,133,22
Ivan Barbashev,VGK,F,82,16,29,45,0.55,117.8,1.4,5,1,126,182,46
Michael Amadio,VGK,F,67,16,11,27,0.4,73.0,1.1,2,0,99,56,27
Sam Bennett,FLA,F,63,16,24,40,0.63,112.3,1.8,9,0,193,150,35
Brandon Montour,FLA,D,80,16,57,73,0.91,185.4,2.3,33,0,242,92,93
Evan Rodrigues,FLA,F,69,16,23,39,0.57,95.8,1.4,11,0,184,34,27
Evander Kane,EDM,F,41,16,12,28,0.68,80.5,2.0,2,2,146,124,15
Ryan O'Reilly,NSH,F,53,16,14,30,0.57,72.5,1.4,5,1,102,18,23
Charlie Coyle,BOS,F,82,16,29,45,0.55,115.7,1.4,0,5,139,68,63
David Krejci,FA,F,70,16,40,56,0.8,112.3,1.6,12,0,112,41,38
Taylor Hall,CHI,F,61,16,20,36,0.59,91.0,1.5,8,0,150,35,33
Kent Johnson,CLS,F,79,16,24,40,0.51,91.1,1.2,12,0,126,15,30
Jonathan Huberdeau,CGY,F,79,15,40,55,0.7,110.1,1.4,15,0,126,65,27
Casey Mittelstadt,BUF,F,82,15,44,59,0.72,107.0,1.3,16,1,135,30,16
Rasmus Dahlin,BUF,D,78,15,58,73,0.94,200.9,2.6,32,0,204,105,132
Jonathan Toews,FA,F,53,15,16,31,0.58,73.1,1.4,12,0,87,9,23
Ryan Strome,ANH,F,82,15,26,41,0.5,85.9,1.0,4,0,130,29,24
Travis Boyd,ARI,F,82,15,19,34,0.41,96.8,1.2,10,0,94,39,59
Ryan Hartman,MIN,F,59,15,22,37,0.63,101.1,1.7,4,4,149,62,48
Jonatan Berggren,DET,F,67,15,13,28,0.42,73.3,1.1,9,0,98,20,28
Joel Farabee,PHI,F,82,15,24,39,0.48,99.1,1.2,2,0,145,71,45
Kevin Labanc,SJ,F,72,15,18,33,0.46,83.4,1.2,3,0,129,70,28
Alexander Barabanov,SJ,F,68,15,32,47,0.69,103.0,1.5,13,0,120,40,37
Conor Sheary,TB,F,82,15,22,37,0.45,97.1,1.2,7,2,154,57,39
Kasperi Kapanen,STL,F,66,15,19,34,0.52,84.0,1.3,6,1,116,99,20
Nico Sturm,SJ,F,74,14,12,26,0.35,84.9,1.1,0,1,119,100,45
Mike Hoffman,SJ,F,67,14,20,34,0.51,82.2,1.2,10,0,148,24,24
Vince Dunn,SEA,D,81,14,50,64,0.79,151.9,1.9,15,0,149,115,80
Yanni Gourde,SEA,F,81,14,34,48,0.59,117.4,1.4,4,1,141,118,54
Noel Acciari,PIT,F,77,14,9,23,0.3,113.1,1.5,0,2,102,244,81
Mathew Barzal,NYI,F,58,14,37,51,0.88,107.9,1.8,19,0,139,25,34
Nikita Zadorov,VAN,D,82,14,7,21,0.26,103.4,1.3,1,0,130,174,75
Pius Suter,VAN,F,79,14,10,24,0.3,72.0,0.9,0,2,106,39,37
Alex Iafallo,WPG,F,59,14,22,36,0.61,86.5,1.5,8,0,133,27,33
Aaron Ekblad,FLA,D,71,14,24,38,0.54,131.3,1.8,19,1,216,77,80
William Karlsson,VGK,F,82,14,39,53,0.65,120.1,1.5,9,5,161,50,50
Nicolas Roy,VGK,F,65,14,16,30,0.46,86.4,1.3,6,1,101,83,41
Rafael Harvey-Pinard,MON,F,34,14,6,20,0.59,76.0,2.2,4,1,58,57,56
Kirby Dach,MON,F,58,14,24,38,0.66,96.0,1.7,16,2,107,53,38
Alex Newhook,MON,F,82,14,16,30,0.37,75.6,0.9,2,0,116,60,26
Cody Glass,NSH,F,72,14,21,35,0.49,88.3,1.2,9,0,131,62,31
Erik Haula,NJ,F,80,14,27,41,0.51,112.6,1.4,7,3,164,92,54
Phil Kessel,FA,F,82,14,22,36,0.44,84.4,1.0,9,0,149,10,28
Eric Staal,FA,F,72,14,15,29,0.4,79.8,1.1,0,2,106,27,45
Seth Jarvis,CAR,F,82,14,25,39,0.48,106.0,1.3,5,1,187,73,48
Jack Quinn,BUF,F,75,14,23,37,0.49,80.9,1.1,6,1,126,43,19
Ryan Donato,CHI,F,71,14,13,27,0.38,67.1,0.9,2,0,122,69,12
Yegor Sharangovich,CGY,F,75,13,17,30,0.4,80.8,1.1,0,4,131,22,41
Stefan Noesen,CAR,F,78,13,23,36,0.46,88.8,1.1,15,0,134,99,18
Jordan Martinook,CAR,F,82,13,21,34,0.41,87.8,1.1,0,2,162,81,31
Derick Brassard,FA,F,62,13,10,23,0.37,64.2,1.0,10,0,92,90,10
Nick Ritchie,FA,F,74,13,13,26,0.35,93.8,1.3,10,0,120,218,32
Denis Malgin,FA,F,65,13,8,21,0.32,61.5,0.9,1,0,112,68,18
Tyson Barrie,NSH,D,85,13,42,55,0.65,150.8,1.8,31,1,163,55,90
Paul Cotter,VGK,F,55,13,5,18,0.33,63.9,1.1,0,0,76,168,17
Arthur Kaliyev,LA,F,56,13,15,28,0.5,68.2,1.2,12,0,122,40,10
Gustav Forsling,FLA,D,82,13,28,41,0.5,138.3,1.7,5,2,209,69,106
Warren Foegele,EDM,F,67,13,15,28,0.42,74.7,1.1,0,1,126,96,22
Derek Ryan,EDM,F,80,13,7,20,0.25,70.1,0.9,0,3,92,54,42
Shayne Gostisbehere,DET,D,75,13,28,41,0.55,127.1,1.7,15,2,155,46,89
Christian Fischer,DET,F,80,13,14,27,0.34,84.3,1.1,1,1,122,126,37
Miles Wood,COL,F,76,13,14,27,0.36,77.7,1.0,3,0,167,100,19
Ilya Mikheyev,VAN,F,46,13,15,28,0.61,59.9,1.3,3,0,91,13,14
Adam Lowry,WPG,F,82,13,23,36,0.44,104.2,1.3,2,5,126,161,46
Tom Wilson,WAS,F,33,13,9,22,0.67,70.4,2.1,5,0,82,97,30
Nic Dowd,WAS,F,65,13,12,25,0.38,88.8,1.4,0,1,62,136,61
Jean-Gabriel Pageau,NYI,F,70,13,27,40,0.57,119.3,1.7,8,4,123,175,61
Noah Dobson,NYI,D,78,13,36,49,0.63,150.1,1.9,19,0,206,60,104
Jeff Carter,PIT,F,79,13,16,29,0.37,95.9,1.2,9,1,139,80,54
Noah Cates,PHI,F,82,13,25,38,0.46,107.8,1.3,8,2,107,86,65
Garnet Hathaway,PHI,F,84,13,9,22,0.26,112.6,1.3,0,1,88,268,83
Alexander Wennberg,SEA,F,82,13,25,38,0.46,101.4,1.2,9,0,101,43,63
Andre Burakovsky,SEA,F,49,13,26,39,0.8,78.7,1.6,14,0,105,17,15
Kris Letang,PIT,D,64,12,29,41,0.64,150.3,2.3,21,1,161,162,108
Matt Nieto,PIT,F,81,12,12,24,0.3,68.3,0.8,1,0,115,43,32
Adam Fox,NYR,D,82,12,60,72,0.88,180.9,2.2,29,3,159,25,125
Nikolaj Ehlers,WPG,F,45,12,26,38,0.84,77.8,1.7,12,0,132,36,10
Sam Lafferty,VAN,F,70,12,15,27,0.39,80.7,1.1,0,5,102,125,33
Evgeny Kuznetsov,WAS,F,81,12,43,55,0.68,112.0,1.4,18,0,172,43,29
Mason Marchment,DAL,F,68,12,19,31,0.46,88.6,1.3,5,0,148,88,39
Darnell Nurse,EDM,D,82,12,31,43,0.52,173.9,2.1,1,3,203,146,164
Corey Perry,EDM,F,81,12,13,25,0.31,71.9,0.9,12,0,116,48,25
Ryan Lomberg,FLA,F,82,12,8,20,0.24,72.3,0.9,0,0,134,149,24
Anton Lundell,FLA,F,73,12,21,33,0.45,82.6,1.1,5,2,152,29,32
Carl Grundstrom,LA,F,57,12,7,19,0.33,63.4,1.1,1,0,90,144,17
Colton Sissons,NSH,F,82,12,18,30,0.37,104.6,1.3,2,1,87,164,72
Yakov Trenin,NSH,F,77,12,12,24,0.31,83.7,1.1,2,2,140,167,30
Brock McGinn,ANH,F,75,12,7,19,0.25,71.0,0.9,0,2,91,84,43
Jack McBain,ARI,F,82,12,14,26,0.32,102.4,1.2,0,0,85,304,51
James van Riemsdyk,BOS,F,61,12,17,29,0.48,66.7,1.1,4,0,119,18,20
Teuvo Teravainen,CAR,F,68,12,25,37,0.54,80.9,1.2,11,3,144,15,18
Eric Robinson,BUF,F,72,12,12,24,0.33,75.2,1.0,0,2,98,124,32
John-Jason Peterka,BUF,F,77,12,20,32,0.42,65.8,0.8,5,0,125,18,10
Tyler Johnson,CHI,F,56,12,20,32,0.57,78.4,1.4,9,0,125,49,25
Seth Jones,CHI,D,72,12,25,37,0.51,146.4,2.0,12,1,178,106,125
Ryan Johansen,COL,F,55,12,16,28,0.51,68.0,1.2,10,0,86,49,19
Jack Roslovic,CLS,F,77,11,33,44,0.57,104.0,1.4,9,3,123,42,53
Sean Kuraly,CLS,F,71,11,9,20,0.28,84.2,1.2,1,2,100,187,46
Kyle Okposo,BUF,F,75,11,17,28,0.37,76.8,1.0,4,1,150,78,25
Tony DeAngelo,CAR,D,70,11,31,42,0.6,124.6,1.8,19,0,174,52,79
Rasmus Andersson,CGY,D,79,11,38,49,0.62,160.4,2.0,21,2,159,50,136
Matias Maccelli,ARI,F,64,11,38,49,0.77,85.0,1.3,13,0,61,24,20
Gustav Nyquist,NSH,F,51,11,16,27,0.53,68.8,1.3,1,2,102,41,30
Blake Lizotte,LA,F,81,11,23,34,0.42,85.9,1.0,0,2,108,96,39
Jared Spurgeon,MIN,D,79,11,23,34,0.43,158.5,2.0,4,1,149,66,179
Alex Pietrangelo,VGK,D,73,11,43,54,0.74,185.0,2.5,14,2,170,65,177
Ryan McLeod,EDM,F,57,11,12,23,0.4,57.3,1.0,0,3,78,40,20
Klim Kostin,DET,F,57,11,10,21,0.37,60.8,1.1,0,0,56,157,15
Radek Faksa,DAL,F,81,11,9,20,0.25,84.2,1.0,0,2,88,89,69
Miro Heiskanen,DAL,D,79,11,62,73,0.92,175.0,2.2,34,1,206,49,96
Dakota Joshua,VAN,F,79,11,12,23,0.29,79.3,1.0,1,1,71,222,30
Sheldon Dries,VAN,F,63,11,6,17,0.27,68.8,1.1,5,1,94,84,40
Sonny Milano,WAS,F,64,11,22,33,0.52,65.9,1.0,5,0,80,39,15
Anthony Mantha,WAS,F,67,11,16,27,0.4,69.7,1.0,2,0,119,68,24
Barclay Goodrow,NYR,F,82,11,20,31,0.38,96.6,1.2,2,1,89,122,64
Jimmy Vesey,NYR,F,81,11,14,25,0.31,78.6,1.0,0,1,123,98,40
Thomas Chabot,OTT,D,68,11,30,41,0.6,147.9,2.2,20,0,165,79,123
Justin Faulk,STL,D,82,11,39,50,0.61,166.8,2.0,10,0,196,112,140
Jakub Vrana,STL,F,25,11,5,16,0.64,39.7,1.6,4,0,63,14,6
Anthony Cirelli,TB,F,58,11,18,29,0.5,79.5,1.4,2,2,111,34,46
Alexei Toropchenko,STL,F,69,10,9,19,0.28,73.3,1.1,0,1,86,122,46
John Klingberg,TOR,D,67,10,23,33,0.49,106.7,1.6,10,0,112,55,84
Mikhail Sergachev,TB,D,79,10,54,64,0.81,190.9,2.4,27,1,156,128,149
Noah Gregor,TOR,F,57,10,7,17,0.3,66.1,1.2,0,1,119,97,34
Oskar Sundqvist,STL,F,67,10,18,28,0.42,69.2,1.0,8,0,69,63,28
Kailer Yamamoto,SEA,F,58,10,15,25,0.43,65.4,1.1,0,2,97,77,24
Mikael Granlund,SJ,F,79,10,31,41,0.52,106.9,1.3,12,0,121,78,60
Lars Eller,PIT,F,84,10,13,23,0.27,77.8,0.9,0,1,140,93,42
Nick Bonino,NYR,F,62,10,9,19,0.31,80.0,1.3,1,0,91,19,79
Hudson Fasching,NYI,F,49,10,9,19,0.39,51.1,1.0,1,0,61,45,22
Neal Pionk,WPG,D,82,10,23,33,0.4,140.6,1.7,3,1,142,169,129
Zach Aston-Reese,DET,F,77,10,4,14,0.18,70.7,0.9,0,0,89,163,43
Michael Rasmussen,DET,F,56,10,19,29,0.52,84.2,1.5,1,0,88,119,48
Sam Steel,DAL,F,65,10,18,28,0.43,60.6,0.9,3,1,85,46,15
Bowen Byram,COL,D,42,10,14,24,0.57,79.2,1.9,6,1,65,82,54
Mattias Janmark,EDM,F,66,10,15,25,0.38,59.9,0.9,0,4,79,20,26
