Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Tomas Hertl,SJ,F,50,19,24,43,0.86,102.1,2.0,10,1,112,39,39
Vincent Trocheck,CAR,F,47,17,26,43,0.91,106.0,2.3,18,0,123,107,28
James van Riemsdyk,PHI,F,56,17,26,43,0.77,91.2,1.6,12,0,132,40,16
Claude Giroux,FLA,F,54,16,27,43,0.8,82.7,1.5,11,0,120,32,6
Matthew Tkachuk,CGY,F,56,16,27,43,0.77,99.3,1.8,15,0,151,132,9
Roope Hintz,DAL,F,41,15,28,43,1.05,88.9,2.1,18,0,92,52,15
Jakub Voracek,CLS,F,53,9,34,43,0.81,78.1,1.5,8,0,104,17,20
Alex Ovechkin,WAS,F,45,24,18,42,0.93,114.0,2.5,17,0,182,98,23
Bryan Rust,PIT,F,56,22,20,42,0.75,106.1,1.9,11,0,154,62,30
William Nylander,TOR,F,51,17,25,42,0.82,86.5,1.7,11,0,133,12,15
Andrei Svechnikov,CAR,F,55,15,27,42,0.76,100.6,1.8,17,0,147,114,18
Jeff Petry,MON,D,55,12,30,42,0.76,114.5,2.1,15,1,128,97,60
Dougie Hamilton,NJ,D,55,10,32,42,0.76,116.7,2.1,18,1,180,52,64
Shea Theodore,VGK,D,53,8,34,42,0.79,97.3,1.8,15,0,161,22,43
Sean Couturier,PHI,F,45,18,23,41,0.91,90.4,2.0,10,0,120,34,22
Jakob Chychrun,ARI,D,56,18,23,41,0.73,134.0,2.4,14,0,176,59,89
Nick Suzuki,MON,F,56,15,26,41,0.73,100.5,1.8,13,2,110,70,38
Martin Necas,CAR,F,53,14,27,41,0.77,94.4,1.8,11,4,114,45,32
Quinn Hughes,VAN,D,56,3,38,41,0.73,86.6,1.5,19,0,98,18,43
Sam Reinhart,FLA,F,54,25,15,40,0.74,101.0,1.9,16,0,130,15,27
Kevin Fiala,MIN,F,50,20,20,40,0.8,92.4,1.8,14,0,162,27,13
Bo Horvat,VAN,F,56,19,20,39,0.7,102.5,1.8,11,1,131,64,38
Andrew Copp,NYR,F,55,15,24,39,0.71,99.2,1.8,12,1,115,67,41
William Karlsson,VGK,F,56,14,25,39,0.7,86.0,1.5,8,1,111,29,29
Conor Garland,VAN,F,49,12,27,39,0.8,81.6,1.7,10,0,135,26,19
Joel Farabee,PHI,F,55,20,18,38,0.69,89.0,1.6,7,0,122,48,21
Dominik Kubalik,CHI,F,56,17,21,38,0.68,91.8,1.6,14,0,156,57,17
Jordan Staal,CAR,F,53,16,22,38,0.72,97.3,1.8,14,1,103,135,24
Jakub Vrana,DET,F,50,19,17,36,0.72,74.4,1.5,5,0,100,29,8
Carter Verhaeghe,FLA,F,43,18,18,36,0.84,76.5,1.8,2,1,107,33,14
Brady Tkachuk,OTT,F,56,17,19,36,0.64,116.3,2.1,10,0,220,248,23
Mike Hoffman,MON,F,52,17,19,36,0.69,81.7,1.6,17,0,113,29,12
Yanni Gourde,SEA,F,56,17,19,36,0.64,83.4,1.5,6,0,118,51,21
Darnell Nurse,EDM,D,56,16,20,36,0.64,132.6,2.4,7,0,154,117,100
Brayden Schenn,STL,F,56,16,20,36,0.64,97.2,1.7,9,0,113,119,35
John Klingberg,DAL,D,53,7,29,36,0.68,93.2,1.8,17,0,108,49,52
MacKenzie Weegar,FLA,D,54,6,30,36,0.67,107.9,2.0,3,2,101,118,83
Connor Brown,OTT,F,56,21,14,35,0.62,90.0,1.6,4,5,123,22,30
Josh Norris,OTT,F,56,17,18,35,0.62,92.8,1.6,14,0,96,72,34
Pavel Zacha,NJ,F,50,17,18,35,0.7,77.0,1.5,11,0,103,42,10
Ryan Nugent-Hopkins,EDM,F,52,16,19,35,0.67,91.6,1.8,20,0,135,26,29
Chandler Stephenson,VGK,F,51,14,21,35,0.69,82.6,1.6,5,2,83,43,35
Clayton Keller,ARI,F,56,14,21,35,0.62,75.4,1.3,10,0,124,20,14
Jordan Kyrou,STL,F,55,14,21,35,0.64,67.5,1.2,3,0,98,7,13
Mats Zuccarello,MIN,F,42,11,24,35,0.83,67.1,1.6,6,0,74,12,19
Jamie Benn,DAL,F,52,11,24,35,0.67,83.7,1.6,9,0,124,73,27
Josh Bailey,NYI,F,54,8,27,35,0.65,66.0,1.2,9,0,77,13,19
Morgan Rielly,TOR,D,55,5,30,35,0.64,93.4,1.7,12,1,101,63,61
Nino Niederreiter,CAR,F,56,20,14,34,0.61,84.4,1.5,5,0,126,68,17
Drake Batherson,OTT,F,56,17,17,34,0.61,94.3,1.7,15,0,111,102,29
Steven Stamkos,TB,F,38,17,17,34,0.89,76.9,2.0,15,1,91,38,10
Cam Atkinson,PHI,F,56,15,19,34,0.61,88.5,1.6,9,4,158,22,30
Jack Roslovic,CLS,F,48,12,22,34,0.71,73.9,1.5,10,0,85,34,22
Travis Konecny,PHI,F,50,11,23,34,0.68,74.0,1.5,11,0,100,55,16
Drew Doughty,LA,D,56,8,26,34,0.61,112.2,2.0,18,1,101,91,83
Alex Tuch,BUF,F,55,18,15,33,0.6,90.4,1.6,4,0,142,52,36
Brock Nelson,NYI,F,56,18,15,33,0.59,84.2,1.5,9,0,121,36,26
Jordan Eberle,SEA,F,55,16,17,33,0.6,76.3,1.4,5,0,128,30,18
Max Comtois,ANH,F,55,16,17,33,0.6,86.7,1.6,4,0,94,93,34
Alex Killorn,TB,F,56,15,18,33,0.59,77.0,1.4,9,1,121,59,12
Zach Hyman,EDM,F,43,15,18,33,0.77,79.4,1.8,5,0,115,69,21
Tom Wilson,WAS,F,47,13,20,33,0.7,81.8,1.7,8,1,83,105,25
Taylor Hall,BOS,F,53,10,23,33,0.62,71.5,1.3,8,0,136,34,15
Roman Josi,NSH,D,48,8,25,33,0.69,106.8,2.2,14,1,141,27,83
Andrew Mangiapane,CGY,F,56,18,14,32,0.57,83.7,1.5,5,1,91,51,33
Jared McCann,SEA,F,43,14,18,32,0.74,72.8,1.7,10,0,93,40,17
Patric Hornqvist,FLA,F,44,14,18,32,0.73,86.0,2.0,12,0,145,80,23
Craig Smith,BOS,F,54,13,19,32,0.59,71.8,1.3,6,0,132,66,8
Victor Olofsson,BUF,F,56,13,19,32,0.57,73.1,1.3,15,0,129,17,12
Filip Forsberg,NSH,F,39,12,20,32,0.82,75.1,1.9,13,0,129,47,14
Nazem Kadri,COL,F,56,11,21,32,0.57,77.6,1.4,9,0,170,36,19
Nick Schmaltz,ARI,F,52,10,22,32,0.62,70.0,1.3,7,0,105,15,25
Anthony Duclair,FLA,F,43,10,22,32,0.74,61.6,1.4,2,1,104,32,9
Mikael Backlund,CGY,F,54,9,23,32,0.59,74.2,1.4,6,2,144,43,21
Alec Martinez,VGK,D,53,9,23,32,0.6,142.4,2.7,9,0,85,44,168
Jordan Greenway,MIN,F,56,6,26,32,0.57,69.2,1.2,1,0,80,87,28
Samuel Girard,COL,D,48,5,27,32,0.67,78.5,1.6,9,0,79,31,52
Neal Pionk,WPG,D,54,3,29,32,0.59,100.7,1.9,10,0,100,137,74
Torey Krug,STL,D,51,2,30,32,0.63,85.1,1.7,13,0,110,51,57
Joonas Donskoi,SEA,F,51,17,14,31,0.61,74.5,1.5,8,0,86,14,25
Logan Couture,SJ,F,53,17,14,31,0.58,88.2,1.7,6,1,114,58,39
Dustin Brown,LA,F,49,17,14,31,0.63,79.9,1.6,11,0,129,85,10
Christian Dvorak,MON,F,56,17,14,31,0.55,90.8,1.6,11,1,95,48,45
Blake Coleman,CGY,F,55,14,17,31,0.56,79.1,1.4,1,1,122,109,20
Timo Meier,SJ,F,54,12,19,31,0.57,83.0,1.5,10,0,155,75,24
Kevin Hayes,PHI,F,55,12,19,31,0.56,73.2,1.3,9,0,127,60,14
Jack Hughes,NJ,F,56,11,20,31,0.55,68.7,1.2,7,0,142,15,15
Devon Toews,COL,D,53,9,22,31,0.58,103.0,1.9,6,0,121,44,87
Thomas Chabot,OTT,D,49,6,25,31,0.63,95.3,1.9,7,0,120,68,72
Nick Leddy,STL,D,56,2,29,31,0.55,79.2,1.4,11,0,79,58,54
Chris Kreider,NYR,F,50,20,10,30,0.6,96.2,1.9,14,0,102,115,35
Joel Eriksson Ek,MIN,F,56,19,11,30,0.54,90.9,1.6,2,0,119,105,37
Jeff Carter,PIT,F,54,17,13,30,0.56,84.0,1.6,5,0,154,41,30
Yegor Sharangovich,NJ,F,54,16,14,30,0.56,70.9,1.3,2,1,114,20,20
Alex Iafallo,LA,F,55,13,17,30,0.55,80.9,1.5,8,0,118,26,39
Denis Gurianov,DAL,F,55,12,18,30,0.55,71.3,1.3,8,0,130,63,12
Kasperi Kapanen,PIT,F,40,11,19,30,0.75,57.9,1.4,4,0,68,41,8
Tomas Tatar,NJ,F,50,10,20,30,0.6,68.5,1.4,8,0,82,63,20
Jason Spezza,TOR,F,54,10,20,30,0.56,58.2,1.1,5,0,81,26,10
Jesper Bratt,NJ,F,46,7,23,30,0.65,63.7,1.4,8,1,101,31,18
Charlie McAvoy,BOS,D,51,5,25,30,0.59,95.2,1.9,8,1,92,65,80
Mikhail Sergachev,TB,D,56,4,26,30,0.54,91.9,1.6,8,0,108,66,73
Alexander Wennberg,SEA,F,56,17,12,29,0.52,78.6,1.4,6,1,82,29,36
Anthony Mantha,WAS,F,56,15,14,29,0.52,78.2,1.4,4,0,138,49,27
Adrian Kempe,LA,F,56,14,15,29,0.52,78.4,1.4,14,1,127,47,21
Paul Stastny,WPG,F,56,13,16,29,0.52,69.4,1.2,8,0,101,38,19
Tim Stutzle,OTT,F,53,12,17,29,0.55,69.1,1.3,9,0,111,50,15
Evgeny Kuznetsov,WAS,F,41,9,20,29,0.71,60.9,1.5,8,0,78,21,18
Brent Burns,SJ,D,56,7,22,29,0.52,103.4,1.8,6,1,138,31,94
Anthony Beauvillier,NYI,F,47,15,13,28,0.6,66.3,1.4,4,0,109,39,13
Jean-Gabriel Pageau,NYI,F,54,14,14,28,0.52,95.2,1.8,8,2,81,111,58
Calle Jarnkrok,CGY,F,49,13,15,28,0.57,65.1,1.3,8,1,91,30,15
Kevin Labanc,SJ,F,55,12,16,28,0.51,67.9,1.2,3,0,128,61,15
Sean Monahan,CGY,F,50,10,18,28,0.56,66.2,1.3,9,0,98,49,18
Rickard Rakell,PIT,F,52,9,19,28,0.54,67.9,1.3,4,0,144,65,16
Evgeni Malkin,PIT,F,33,8,20,28,0.85,55.5,1.7,9,0,72,18,12
Seth Jones,CHI,D,56,5,23,28,0.5,111.8,2.0,8,0,141,102,101
Pius Suter,DET,F,55,14,13,27,0.49,73.5,1.3,3,0,112,28,34
Nils Hoglander,VAN,F,56,13,14,27,0.48,64.4,1.1,1,0,118,26,19
Mikael Granlund,NSH,F,51,13,14,27,0.53,76.5,1.5,7,0,74,46,42
Sam Bennett,FLA,F,48,10,17,27,0.56,68.9,1.4,3,0,106,108,18
Miro Heiskanen,DAL,D,55,8,19,27,0.49,83.3,1.5,11,0,121,47,52
Jake Muzzin,TOR,D,53,4,23,27,0.51,99.9,1.9,2,1,103,101,94
Keith Yandle,PHI,D,56,3,24,27,0.48,65.6,1.2,18,0,113,18,27
Justin Schultz,WAS,D,46,3,24,27,0.59,68.0,1.5,8,0,67,28,49
Mike Reilly,BOS,D,55,0,27,27,0.49,67.3,1.2,4,0,98,70,43
Frank Vatrano,NYR,F,56,18,8,26,0.46,79.2,1.4,4,0,158,69,21
Nick Ritchie,ARI,F,56,15,11,26,0.46,76.3,1.4,9,0,121,102,17
Marcus Foligno,MIN,F,39,11,15,26,0.67,60.9,1.5,0,1,40,109,17
Nick Bonino,SJ,F,55,10,16,26,0.47,71.2,1.3,5,0,66,11,50
Mark Giordano,TOR,D,56,9,17,26,0.46,113.3,2.0,8,0,142,51,110
Ivan Provorov,PHI,D,56,7,19,26,0.46,109.2,1.9,10,0,126,56,106
Filip Hronek,DET,D,56,2,24,26,0.46,74.6,1.3,11,0,114,67,46
Miles Wood,NJ,F,55,17,8,25,0.45,72.5,1.3,3,0,127,38,25
Jesse Puljujarvi,EDM,F,55,15,10,25,0.45,73.6,1.3,4,0,115,101,20
Reilly Smith,VGK,F,53,14,11,25,0.47,69.5,1.3,5,2,124,46,20
Mason Appleton,WPG,F,56,12,13,25,0.45,63.4,1.1,0,1,88,61,22
Viktor Arvidsson,LA,F,50,10,15,25,0.5,69.6,1.4,3,0,151,15,33
Janne Kuokkanen,NJ,F,50,8,17,25,0.5,51.6,1.0,4,0,61,10,19
Jared Spurgeon,MIN,D,54,7,18,25,0.46,102.1,1.9,9,0,94,52,102
Justin Faulk,STL,D,56,7,18,25,0.45,103.4,1.8,5,2,117,127,87
Brett Pesce,CAR,D,55,4,21,25,0.45,83.1,1.5,5,0,89,17,82
Josh Anderson,MON,F,52,17,7,24,0.46,81.4,1.6,2,1,125,139,25
Brandon Saad,STL,F,44,15,9,24,0.55,53.9,1.2,3,0,68,16,10
Patrik Laine,CLS,F,46,12,12,24,0.52,58.8,1.3,7,0,82,36,15
Mattias Janmark,VGK,F,56,11,13,24,0.43,58.1,1.0,7,1,95,26,14
Adam Lowry,WPG,F,52,10,14,24,0.46,74.6,1.4,2,1,80,161,30
Brandon Hagel,TB,F,52,9,15,24,0.46,64.0,1.2,3,1,91,59,28
Max Domi,CAR,F,54,9,15,24,0.44,50.9,0.9,3,0,99,15,10
Phillip Danault,LA,F,53,5,19,24,0.45,58.4,1.1,0,1,73,76,28
Oliver Ekman-Larsson,VAN,D,46,3,21,24,0.52,62.5,1.3,14,0,83,72,26
Brendan Gallagher,MON,F,35,14,9,23,0.66,59.7,1.7,3,0,106,46,12
Andreas Athanasiou,LA,F,47,10,13,23,0.49,51.1,1.1,1,0,85,11,16
Milan Lucic,CGY,F,56,10,13,23,0.41,61.3,1.1,2,0,74,139,12
Victor Rask,SEA,F,54,10,13,23,0.43,48.4,0.9,6,0,53,21,10
Trevor Moore,LA,F,56,10,13,23,0.41,52.6,0.9,2,2,88,38,10
Gabriel Vilardi,LA,F,54,10,13,23,0.43,52.8,1.0,4,0,65,18,19
Jonas Brodin,MIN,D,53,9,14,23,0.43,93.9,1.8,2,0,79,35,99
Dylan Larkin,DET,F,44,9,14,23,0.52,60.7,1.4,6,0,134,38,17
Alex Kerfoot,TOR,F,56,8,15,23,0.41,60.4,1.1,2,1,68,41,34
Lars Eller,WAS,F,44,8,15,23,0.52,51.5,1.2,4,0,69,36,16
Alex Pietrangelo,VGK,D,41,7,16,23,0.56,87.9,2.1,4,1,126,28,80
Mattias Ekholm,NSH,D,48,6,17,23,0.48,66.8,1.4,2,1,110,23,46
Rasmus Dahlin,BUF,D,56,5,18,23,0.41,75.5,1.3,11,0,115,80,45
Cam Fowler,ANH,D,56,5,18,23,0.41,58.2,1.0,4,0,75,27,36
Jonathan Drouin,MON,F,44,2,21,23,0.52,42.8,1.0,5,0,76,42,7
Ty Smith,NJ,D,48,2,21,23,0.48,56.1,1.2,7,0,69,32,35
Conor Sheary,WAS,F,53,14,8,22,0.42,58.7,1.1,3,0,88,24,20
Colin Blackwell,TOR,F,47,12,10,22,0.47,56.9,1.2,5,0,64,45,19
Eeli Tolvanen,NSH,F,40,11,11,22,0.55,61.3,1.5,12,0,65,78,16
Dillon Dube,CGY,F,51,11,11,22,0.43,55.3,1.1,2,0,84,59,14
Aaron Ekblad,FLA,D,35,11,11,22,0.63,64.5,1.8,11,0,101,24,27
Casey Mittelstadt,BUF,F,41,10,12,22,0.54,49.0,1.2,6,2,61,9,12
Anthony Cirelli,TB,F,50,9,13,22,0.44,63.9,1.3,4,2,75,64,32
Erik Karlsson,SJ,D,52,8,14,22,0.42,82.0,1.6,8,1,110,20,69
Dmitry Orlov,WAS,D,51,8,14,22,0.43,73.0,1.4,2,0,83,87,50
Tyler Johnson,CHI,F,55,8,14,22,0.4,53.0,1.0,3,0,77,63,15
Filip Chytil,NYR,F,42,8,14,22,0.52,48.6,1.1,0,0,76,15,19
Ryan Johansen,NSH,F,48,7,15,22,0.46,51.5,1.1,7,0,67,43,16
Teddy Blueger,PIT,F,43,7,15,22,0.51,53.2,1.2,0,3,49,53,25
Ryan Hartman,MIN,F,51,7,15,22,0.43,60.9,1.2,3,2,74,55,33
Alex Goligoski,MIN,D,56,3,19,22,0.39,97.3,1.7,7,0,72,76,108
Adam Henrique,ANH,F,45,12,9,21,0.47,62.2,1.4,2,1,77,40,32
Alexis Lafreniere,NYR,F,56,12,9,21,0.38,49.5,0.9,0,0,67,43,11
Oliver Wahlstrom,NYI,F,44,12,9,21,0.48,60.1,1.4,10,0,94,57,14
Valeri Nichushkin,COL,F,55,10,11,21,0.38,62.3,1.1,1,1,98,65,28
Kyle Palmieri,NYI,F,51,10,11,21,0.41,58.2,1.1,6,1,115,62,12
Elias Pettersson,VAN,F,26,10,11,21,0.81,45.9,1.7,5,1,63,11,9
Pierre-Luc Dubois,WPG,F,46,9,12,21,0.46,59.5,1.3,6,0,76,59,26
Corey Perry,TB,F,49,9,12,21,0.43,52.8,1.1,7,0,62,56,15
Erik Haula,BOS,F,51,9,12,21,0.41,58.8,1.1,3,2,85,63,23
Jaden Schwartz,SEA,F,40,8,13,21,0.53,54.6,1.4,3,0,71,40,26
Kailer Yamamoto,EDM,F,52,8,13,21,0.4,62.6,1.2,2,1,69,52,40
Matt Dumba,MIN,D,51,6,15,21,0.41,83.3,1.6,5,0,89,74,75
Tyler Myers,VAN,D,55,6,15,21,0.38,83.5,1.5,3,2,109,61,74
Rasmus Andersson,CGY,D,56,5,16,21,0.38,77.5,1.4,6,0,96,49,68
Josh Morrissey,WPG,D,56,4,17,21,0.38,91.9,1.6,9,0,116,78,86
Damon Severson,NJ,D,56,3,18,21,0.38,66.3,1.2,4,1,91,57,50
Evgenii Dadonov,VGK,F,55,13,7,20,0.36,59.2,1.1,1,0,89,38,26
Daniel Sprong,SEA,F,42,13,7,20,0.48,43.7,1.0,0,0,74,28,1
Adam Erne,DET,F,45,11,9,20,0.44,57.3,1.3,6,0,71,82,16
Warren Foegele,EDM,F,53,10,10,20,0.38,51.1,1.0,0,0,91,60,12
Scott Laughton,PHI,F,53,9,11,20,0.38,69.5,1.3,0,1,89,141,34
Shayne Gostisbehere,ARI,D,41,9,11,20,0.49,67.3,1.6,9,0,85,18,47
Derick Brassard,EDM,F,53,8,12,20,0.38,48.2,0.9,6,0,67,80,5
Travis Zajac,FA,F,46,8,12,20,0.43,49.6,1.1,1,0,50,51,22
Troy Terry,ANH,F,48,7,13,20,0.42,40.9,0.8,0,0,69,5,13
Nick Foligno,BOS,F,49,7,13,20,0.41,69.4,1.4,2,3,81,133,37
Zach Werenski,CLS,D,35,7,13,20,0.57,59.0,1.7,5,0,79,21,39
Ryan Donato,SEA,F,50,6,14,20,0.4,54.9,1.1,6,0,104,50,21
Barclay Goodrow,NYR,F,55,6,14,20,0.36,57.8,1.0,0,0,72,111,27
Vince Dunn,SEA,D,43,6,14,20,0.47,65.9,1.5,7,0,73,36,51
Jesperi Kotkaniemi,CAR,F,56,5,15,20,0.36,57.6,1.0,4,0,87,84,27
Joe Thornton,FLA,F,44,5,15,20,0.45,39.9,0.9,5,0,42,32,10
Matt Grzelcyk,BOS,D,37,5,15,20,0.54,55.4,1.5,7,0,80,19,34
Nick Paul,TB,F,56,5,15,20,0.36,63.4,1.1,2,4,105,74,35
Justin Holl,TOR,D,55,2,18,20,0.36,78.4,1.4,0,1,57,82,84
Anders Lee,NYI,F,27,12,7,19,0.7,51.4,1.9,4,0,80,39,13
Mathieu Joseph,OTT,F,56,12,7,19,0.34,53.6,0.9,2,0,59,82,15
Luke Kunin,NSH,F,38,10,9,19,0.5,54.5,1.4,0,0,71,84,20
Mathieu Perreault,MON,F,56,9,10,19,0.34,53.1,0.9,4,0,57,84,18
Chris Tierney,OTT,F,55,6,13,19,0.35,49.1,0.9,0,1,53,23,32
Shea Weber,MON,D,48,6,13,19,0.4,81.9,1.7,11,0,104,70,68
Jesper Fast,CAR,F,46,6,13,19,0.41,50.1,1.1,4,0,38,78,23
Filip Zadina,DET,F,49,6,13,19,0.39,50.9,1.0,6,0,97,22,22
P.K. Subban,NJ,D,44,5,14,19,0.43,63.5,1.4,5,0,99,41,46
Ryan Suter,DAL,D,56,3,16,19,0.34,69.9,1.2,6,0,86,38,65
Brenden Dillon,WPG,D,56,2,17,19,0.34,71.9,1.3,1,1,51,143,61
Robby Fabbri,DET,F,30,10,8,18,0.6,46.7,1.5,2,0,58,34,17
Colin White,OTT,F,45,10,8,18,0.4,51.7,1.1,4,0,69,58,18
J.T. Compher,COL,F,48,10,8,18,0.38,55.9,1.1,2,0,47,32,38
Tanner Pearson,VAN,F,51,10,8,18,0.35,60.4,1.2,3,1,110,54,28
Jason Zucker,PIT,F,38,9,9,18,0.47,50.1,1.3,4,0,67,69,15
Tomas Nosek,BOS,F,38,8,10,18,0.47,46.5,1.2,1,0,59,51,18
Eric Robinson,CLS,F,56,8,10,18,0.32,51.4,0.9,0,1,75,94,16
Owen Tippett,PHI,F,45,7,11,18,0.4,43.5,1.0,3,0,86,59,5
Zach Parise,NYI,F,45,7,11,18,0.4,46.8,1.0,2,0,90,18,20
Brandon Montour,FLA,D,50,7,11,18,0.36,72.3,1.4,1,2,94,54,62
Garnet Hathaway,WAS,F,56,6,12,18,0.32,63.6,1.1,0,1,62,179,30
Sean Walker,LA,D,47,5,13,18,0.38,73.0,1.6,1,0,92,43,72
Nick Cousins,NSH,F,52,5,13,18,0.35,43.8,0.8,4,0,60,48,16
Ryan Ellis,PHI,D,35,5,13,18,0.51,66.1,1.9,4,0,75,21,63
Erik Cernak,TB,D,46,5,13,18,0.39,64.3,1.4,0,0,85,98,46
Rasmus Ristolainen,PHI,D,49,4,14,18,0.37,86.1,1.8,7,0,73,193,68
Patrick Maroon,TB,F,55,4,14,18,0.33,39.1,0.7,4,0,46,75,6
Jack Eichel,VGK,F,21,2,16,18,0.86,40.1,1.9,9,0,61,20,15
Nico Sturm,COL,F,50,11,6,17,0.34,52.2,1.0,0,0,64,48,26
Kaapo Kakko,NYR,F,48,9,8,17,0.35,45.0,0.9,3,0,81,14,16
Dylan Strome,CHI,F,40,9,8,17,0.42,46.9,1.1,7,0,71,8,19
Vladislav Namestnikov,DAL,F,53,8,9,17,0.32,58.3,1.1,0,0,87,71,35
Boone Jenner,CLS,F,41,8,9,17,0.41,68.0,1.7,1,1,79,76,53
Rudolfs Balcers,SJ,F,41,8,9,17,0.41,54.7,1.3,1,0,66,81,29
Tyson Jost,MIN,F,54,7,10,17,0.31,47.2,0.9,0,0,92,45,19
Ilya Mikheyev,TOR,F,54,7,10,17,0.31,54.1,1.0,0,1,107,49,28
