Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Connor McDavid,EDM,F,56,33,72,105,1.88,194.6,3.5,37,0,200,61,24
Leon Draisaitl,EDM,F,56,31,53,84,1.5,158.0,2.8,32,1,168,37,12
Brad Marchand,BOS,F,53,29,40,69,1.3,136.9,2.6,18,7,143,66,11
Mitch Marner,TOR,F,55,20,47,67,1.22,133.4,2.4,14,2,156,23,41
Auston Matthews,TOR,F,52,41,25,66,1.27,164.9,3.2,13,0,222,57,47
Mikko Rantanen,COL,F,52,30,36,66,1.27,138.3,2.7,24,0,177,26,20
Patrick Kane,CHI,F,56,15,51,66,1.18,119.9,2.1,22,0,191,13,15
Nathan MacKinnon,COL,F,48,20,45,65,1.35,129.4,2.7,25,0,206,38,15
Mark Scheifele,WPG,F,56,21,42,63,1.12,127.2,2.3,17,0,126,31,38
Sidney Crosby,PIT,F,55,24,38,62,1.13,131.8,2.4,22,1,159,44,28
Mark Stone,VGK,F,55,21,40,61,1.11,120.4,2.2,17,1,98,31,33
Jonathan Huberdeau,FLA,F,55,20,41,61,1.11,115.8,2.1,24,0,122,51,11
Aleksander Barkov,FLA,F,50,26,32,58,1.16,133.2,2.7,19,1,176,31,37
David Perron,STL,F,56,19,39,58,1.04,119.6,2.1,21,0,151,45,25
Artemi Panarin,NYR,F,42,17,41,58,1.38,99.4,2.4,18,0,106,13,7
Sebastian Aho,CAR,F,56,24,33,57,1.02,122.6,2.2,18,3,148,38,25
Jake Guentzel,PIT,F,56,23,34,57,1.02,123.9,2.2,18,1,141,43,32
Alex DeBrincat,CHI,F,52,32,24,56,1.08,131.0,2.5,18,1,155,70,22
Ryan O'Reilly,STL,F,56,24,30,54,0.96,113.3,2.0,12,2,129,24,26
Nicklas Backstrom,WAS,F,55,15,38,53,0.96,104.1,1.9,22,0,91,25,27
Gabriel Landeskog,COL,F,54,20,32,52,0.96,117.1,2.2,15,0,155,81,28
Kirill Kaprizov,MIN,F,55,27,24,51,0.93,112.1,2.0,13,0,157,29,18
Joe Pavelski,DAL,F,56,25,26,51,0.91,126.3,2.2,21,0,139,64,39
Max Pacioretty,VGK,F,48,24,27,51,1.06,116.2,2.4,12,0,174,33,29
Kyle Connor,WPG,F,56,26,24,50,0.89,109.9,1.9,13,0,166,18,18
Mika Zibanejad,NYR,F,56,24,26,50,0.89,129.6,2.3,14,4,171,75,44
John Tavares,TOR,F,56,19,31,50,0.89,110.4,2.0,12,0,163,51,28
Anze Kopitar,LA,F,56,13,37,50,0.89,109.3,1.9,23,0,118,45,37
Brock Boeser,VAN,F,56,23,26,49,0.88,106.8,1.9,14,1,141,32,20
Evander Kane,EDM,F,56,22,27,49,0.88,116.6,2.1,7,4,194,97,22
Johnny Gaudreau,CGY,F,56,19,30,49,0.88,94.0,1.7,19,0,112,8,9
Ryan Strome,NYR,F,56,14,35,49,0.88,97.0,1.7,18,2,128,22,18
Brayden Point,TB,F,56,23,25,48,0.86,102.9,1.8,15,0,131,23,18
Patrice Bergeron,BOS,F,54,23,25,48,0.89,120.6,2.2,13,4,182,49,36
David Pastrnak,BOS,F,48,20,28,48,1.0,102.6,2.1,14,0,176,35,13
Pavel Buchnevich,STL,F,54,20,28,48,0.89,105.4,1.9,8,4,120,49,29
Tyson Barrie,EDM,D,56,8,40,48,0.86,114.2,2.0,23,0,146,26,59
Elias Lindholm,CGY,F,56,19,28,47,0.84,109.8,1.9,16,1,130,53,34
Adam Fox,NYR,D,55,5,42,47,0.85,128.0,2.3,23,2,102,23,102
Nikolaj Ehlers,WPG,F,47,21,25,46,0.98,96.9,2.0,13,0,148,26,12
J.T. Miller,VAN,F,53,15,31,46,0.87,102.1,1.9,18,1,106,90,24
Ondrej Palat,TB,F,55,15,31,46,0.84,111.8,2.0,20,0,111,82,43
Blake Wheeler,WPG,F,50,15,31,46,0.92,101.1,2.0,15,0,113,63,30
Jason Robertson,DAL,F,51,17,28,45,0.88,87.0,1.7,6,0,127,28,13
Mathew Barzal,NYI,F,55,17,28,45,0.82,88.1,1.6,8,0,134,22,13
Victor Hedman,TB,D,54,9,36,45,0.83,121.2,2.2,24,0,136,51,73
Kris Letang,PIT,D,55,7,38,45,0.82,114.9,2.1,15,1,132,92,65
Tyler Toffoli,CGY,F,52,28,16,44,0.85,107.8,2.1,10,3,158,75,12
Andre Burakovsky,COL,F,53,19,25,44,0.83,90.4,1.7,14,0,102,22,16
Jonathan Marchessault,VGK,F,55,18,26,44,0.8,94.0,1.7,6,0,176,44,14
Oliver Bjorkstrand,CLS,F,56,18,26,44,0.79,98.5,1.8,6,0,143,42,30
John Carlson,WAS,D,52,10,34,44,0.85,114.0,2.2,15,0,128,52,69
David Krejci,FA,F,51,8,36,44,0.86,83.8,1.6,16,0,83,25,26
Cale Makar,COL,D,44,8,36,44,1.0,96.3,2.2,22,0,104,49,36
T.J. Oshie,WAS,F,53,22,21,43,0.81,104.6,2.0,17,0,106,70,27
Phil Kessel,ARI,F,56,20,23,43,0.77,86.3,1.5,13,0,115,8,9
