Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Austin Czarnik,NYI,F,17,2,5,7,0.41,14.2,0.8,0,0,14,3,7
Nicolas Meloche,SJ,D,50,2,5,7,0.14,55.9,1.1,0,1,36,158,54
Travis Dermott,VAN,D,60,2,5,7,0.12,42.1,0.7,0,0,46,55,46
Jeremy Lauzon,NSH,D,66,2,5,7,0.11,70.4,1.1,0,0,75,224,63
Ross Johnston,NYI,F,32,2,5,7,0.22,26.9,0.8,0,0,9,90,16
Cole Perfetti,WPG,F,18,2,5,7,0.39,14.3,0.8,1,0,21,17,2
Calle Rosen,STL,D,18,2,5,7,0.39,19.4,1.1,0,0,18,6,16
Nolan Patrick,VGK,F,25,2,5,7,0.28,17.0,0.7,1,0,34,26,3
Joel Kiviranta,DAL,F,56,1,6,7,0.12,35.1,0.6,0,0,59,97,23
Thomas Novak,NSH,F,27,1,6,7,0.26,15.9,0.6,4,0,25,4,6
Victor Mete,FA,D,37,0,7,7,0.19,30.5,0.8,1,0,27,13,38
Cam Dineen,ARI,D,34,0,7,7,0.21,36.4,1.1,0,0,52,22,44
Max Willman,PHI,F,41,4,2,6,0.15,26.8,0.6,0,0,65,53,10
Carter Rowney,DET,F,26,4,2,6,0.23,25.6,1.0,0,1,15,36,20
Michael Carcone,ARI,F,21,4,2,6,0.29,20.2,1.0,0,0,36,31,7
Alex Barre-Boulet,TB,F,16,3,3,6,0.38,13.6,0.8,1,0,16,10,3
Matt Luff,NSH,F,23,3,3,6,0.26,16.5,0.7,0,0,26,29,4
Brett Leason,WAS,F,36,3,3,6,0.17,22.1,0.6,0,0,45,16,14
Kevin Labanc,SJ,F,21,3,3,6,0.29,21.9,1.0,4,0,36,28,9
Joel Edmundson,MON,D,24,3,3,6,0.25,40.8,1.7,0,0,32,61,45
Michael Stone,CGY,D,11,2,4,6,0.55,22.5,2.0,2,0,24,26,17
Joel Hanley,DAL,D,44,2,4,6,0.14,37.3,0.8,0,0,18,60,43
Radim Zohorna,PIT,F,17,2,4,6,0.35,12.7,0.7,0,0,9,23,3
Corey Schueneman,MON,D,24,2,4,6,0.25,33.0,1.4,1,0,30,15,40
Oskar Steen,BOS,F,20,2,4,6,0.3,17.7,0.8,0,0,25,32,8
Brett Murray,BUF,F,19,2,4,6,0.32,12.6,0.6,1,0,14,17,2
Connor Dewar,MIN,F,35,2,4,6,0.17,28.7,0.8,1,0,44,48,22
Jonas Rondbjerg,VGK,F,30,2,4,6,0.2,17.8,0.6,0,0,30,13,11
Jake Leschyshyn,VGK,F,41,2,4,6,0.15,27.5,0.7,0,0,35,45,23
Ryan Merkley,SJ,D,39,1,5,6,0.15,23.8,0.6,2,0,36,12,22
Reese Johnson,CHI,F,37,1,5,6,0.16,30.5,0.8,0,0,24,141,14
Matias Maccelli,ARI,F,23,1,5,6,0.26,14.8,0.6,1,0,21,12,8
Andrej Sustr,ANH,D,38,1,5,6,0.16,30.5,0.8,0,0,28,27,36
Buddy Robinson,ANH,F,32,1,5,6,0.19,22.4,0.7,0,0,38,56,12
Robert Bortuzzo,STL,D,73,1,5,6,0.08,74.2,1.0,0,0,47,135,98
Mitchell Stephens,DET,F,27,0,6,6,0.22,14.3,0.5,0,0,17,21,9
Josh Brown,BOS,D,52,0,6,6,0.12,53.3,1.0,0,0,45,118,62
Sami Niku,MON,D,13,0,6,6,0.46,17.0,1.3,1,0,14,6,17
Casey Fitzgerald,BUF,D,36,0,6,6,0.17,36.2,1.0,0,0,41,86,35
Scott Perunovich,STL,D,19,0,6,6,0.32,15.4,0.8,3,0,14,5,12
Urho Vaakanainen,ANH,D,29,0,6,6,0.21,25.9,0.9,1,0,27,27,28
Brendan Perlini,EDM,F,23,4,1,5,0.22,15.8,0.7,0,0,24,29,3
Jeffrey Viel,SJ,F,34,3,2,5,0.15,24.9,0.7,0,0,30,84,11
Drew O'Connor,PIT,F,22,3,2,5,0.23,16.7,0.7,0,0,40,12,7
Greg McKegg,NYR,F,43,2,3,5,0.12,26.0,0.6,0,1,25,50,22
Colton Sceviour,EDM,F,35,2,3,5,0.14,25.4,0.7,0,1,38,41,20
Kurtis MacDermid,COL,D,58,2,3,5,0.09,33.1,0.6,0,0,46,105,22
Mark Jankowski,BUF,F,19,2,3,5,0.26,12.9,0.6,0,0,14,5,8
Drake Caggiula,BUF,F,18,2,3,5,0.28,15.0,0.8,1,0,23,17,7
Morgan Barron,WPG,F,27,2,3,5,0.19,19.2,0.7,0,0,33,49,8
Jesse Ylonen,MON,F,14,2,3,5,0.36,11.1,0.8,0,0,16,5,4
Robin Salo,NYI,D,21,1,4,5,0.24,21.6,1.0,2,0,24,7,23
Simon Benoit,ANH,D,53,1,4,5,0.09,46.8,0.9,0,0,45,168,39
Kyle Burroughs,VAN,D,42,1,4,5,0.12,51.6,1.2,0,0,39,122,59
Mark Friedman,PIT,D,26,1,4,5,0.19,23.9,0.9,0,0,27,27,25
Tyler Pitlick,MON,F,39,1,4,5,0.13,29.6,0.7,0,0,36,70,26
William Lagesson,MON,D,33,0,5,5,0.15,22.3,0.7,0,0,33,40,20
Lassi Thomson,OTT,D,16,0,5,5,0.31,14.1,0.9,1,0,18,23,9
Ville Heinola,WPG,D,12,0,5,5,0.42,11.9,0.9,0,0,25,9,7
Dylan Samberg,WPG,D,15,0,5,5,0.33,18.0,1.2,0,0,14,21,19
Brett Ritchie,CGY,F,41,3,1,4,0.1,22.8,0.5,0,0,55,78,5
Michael Sgarbossa,WAS,F,10,2,2,4,0.4,8.8,0.8,0,0,11,7,2
Justin Dowling,VAN,F,22,2,2,4,0.18,13.2,0.6,0,0,17,10,9
James Neal,STL,F,19,2,2,4,0.21,13.3,0.7,2,0,31,17,3
Haydn Fleury,SEA,D,36,2,2,4,0.11,48.2,1.3,0,0,52,60,62
John Hayden,BUF,F,55,2,2,4,0.07,35.0,0.6,0,0,66,104,24
Ronnie Attard,PHI,D,15,2,2,4,0.27,18.5,1.2,0,0,16,24,17
Arttu Ruotsalainen,BUF,F,18,2,2,4,0.22,12.7,0.7,0,0,23,14,6
Axel Jonsson-Fjallby,WAS,F,23,2,2,4,0.17,14.7,0.6,0,0,29,18,8
Mark Kastelic,OTT,F,16,2,2,4,0.25,17.2,1.1,0,0,11,51,10
Calen Addison,MIN,D,15,2,2,4,0.27,11.9,0.7,0,0,17,12,6
Nathan Smith,ARI,F,10,2,2,4,0.4,13.0,1.3,0,0,14,26,6
Marian Studenic,DAL,F,33,2,2,4,0.12,20.2,0.6,0,0,42,25,15
Isaac Ratcliffe,PHI,F,10,1,3,4,0.4,13.0,1.3,2,0,14,16,8
Kevin Bahl,NJ,D,17,1,3,4,0.24,16.9,0.9,0,0,16,28,15
Nils Lundkvist,NYR,D,25,1,3,4,0.16,18.2,0.7,2,0,32,15,15
Philippe Myers,NSH,D,27,1,3,4,0.15,21.3,0.8,0,0,28,50,17
Taro Hirose,DET,F,15,1,3,4,0.27,8.9,0.5,2,0,10,9,2
Thomas Harley,DAL,D,34,1,3,4,0.12,26.6,0.8,0,0,36,30,30
Kyle Turris,EDM,F,23,1,3,4,0.17,11.4,0.5,0,0,21,13,6
Andrej Sekera,DAL,D,32,1,3,4,0.12,21.6,0.7,0,0,26,15,25
Matt Irwin,WAS,D,17,1,3,4,0.24,22.0,1.3,0,0,29,36,21
Kyle Clifford,TOR,F,25,1,3,4,0.16,15.4,0.6,0,0,29,50,5
Ryan Murray,COL,D,37,0,4,4,0.11,30.8,0.8,0,1,26,32,41
Derrick Pouliot,SEA,D,11,0,4,4,0.36,12.8,1.1,0,0,8,10,14
Slater Koekkoek,EDM,D,19,0,4,4,0.21,16.2,0.8,0,0,11,21,18
Mark Borowiecki,NSH,D,57,0,4,4,0.07,67.6,1.2,0,0,45,196,79
Nathan Beaulieu,PIT,D,24,0,4,4,0.17,18.3,0.8,0,1,24,19,19
Riley Nash,TB,F,49,0,4,4,0.08,20.7,0.4,0,0,36,46,17
Sammy Blais,NYR,F,14,0,4,4,0.29,13.4,0.9,0,0,17,37,8
Colton White,NJ,D,27,0,4,4,0.15,15.2,0.6,0,0,18,24,14
Bobby Brink,PHI,F,10,0,4,4,0.4,8.8,0.8,1,0,18,15,2
Marc McLaughlin,BOS,F,11,3,0,3,0.27,9.7,0.8,0,0,12,15,2
Jujhar Khaira,CHI,F,27,3,0,3,0.11,25.0,0.9,0,0,32,88,14
Liam O'Brien,ARI,F,39,2,1,3,0.08,27.5,0.7,0,0,36,139,10
Adam Brooks,WPG,F,25,2,1,3,0.12,10.5,0.4,0,0,14,11,6
Sheldon Dries,VAN,F,11,2,1,3,0.27,11.1,1.0,1,0,17,9,6
Jack McBain,ARI,F,10,2,1,3,0.3,14.1,1.4,0,0,13,33,9
Jan Jenik,ARI,F,13,2,1,3,0.23,11.7,0.8,0,0,22,25,4
Kristian Vesalainen,WPG,F,53,2,1,3,0.06,23.5,0.4,0,0,43,72,14
Jonah Gadjovich,SJ,F,43,1,2,3,0.07,25.0,0.6,0,0,36,104,14
Benoit-Olivier Groulx,ANH,F,18,1,2,3,0.17,10.6,0.6,0,0,17,19,6
Carson Meyer,CLS,F,13,1,2,3,0.23,9.0,0.7,0,0,13,27,2
Troy Stecher,LA,D,29,1,2,3,0.1,31.3,1.1,0,0,50,33,38
Philip Broberg,EDM,D,23,1,2,3,0.13,12.9,0.5,0,0,29,10,10
Vladislav Kolyachonok,ARI,D,32,1,2,3,0.09,28.3,0.9,0,0,24,39,36
Tucker Poolman,VAN,D,40,1,2,3,0.07,48.5,1.2,0,0,47,33,73
Nate Thompson,PHI,F,33,1,2,3,0.09,21.2,0.6,0,0,23,49,20
Kevin Connauton,PHI,D,39,1,2,3,0.08,30.4,0.8,0,0,30,74,32
Nick Seeler,PHI,D,43,1,2,3,0.07,48.2,1.1,0,0,32,75,67
Logan Shaw,OTT,F,17,1,2,3,0.18,9.3,0.5,0,0,17,11,5
Tanner Kero,DAL,F,23,0,3,3,0.13,10.1,0.4,0,0,14,12,9
Jakub Zboril,BOS,D,10,0,3,3,0.3,11.7,1.1,0,0,13,24,10
Jayson Megna,COL,F,20,0,3,3,0.15,12.1,0.6,0,0,19,27,9
Dennis Cholowski,SEA,D,11,0,3,3,0.27,11.1,1.0,0,0,11,5,13
Jalen Chatfield,CAR,D,16,0,3,3,0.19,13.7,0.8,0,0,25,32,10
Jack Studnicka,BOS,F,15,0,3,3,0.2,9.3,0.6,0,0,21,17,5
