Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Andreas Athanasiou,LA,F,28,11,6,17,0.61,41.7,1.5,1,0,71,11,10
Ryan Poehling,MON,F,57,9,8,17,0.3,54.1,0.9,2,0,91,40,28
Jason Zucker,PIT,F,41,8,9,17,0.41,52.8,1.3,2,0,102,66,20
Martin Fehervary,WAS,D,79,8,9,17,0.22,119.2,1.5,0,2,96,251,117
Matt Nieto,SJ,F,70,6,11,17,0.24,64.3,0.9,0,0,82,96,47
Sean Couturier,PHI,F,29,6,11,17,0.59,45.1,1.6,5,1,79,22,18
Erik Gudbranson,CGY,D,78,6,11,17,0.22,96.4,1.2,0,0,129,145,92
Dryden Hunt,NYR,F,76,6,11,17,0.22,56.2,0.7,0,0,94,153,17
Janne Kuokkanen,NJ,F,57,6,11,17,0.3,44.7,0.8,1,1,64,33,22
Brandon Duhaime,MIN,F,80,6,11,17,0.21,61.2,0.8,0,0,91,201,18
Bowen Byram,COL,D,30,5,12,17,0.57,45.7,1.5,1,0,49,53,26
Luke Schenn,VAN,D,66,5,12,17,0.26,105.6,1.6,0,1,78,273,96
Mike Reilly,BOS,D,70,4,13,17,0.24,72.9,1.0,3,1,135,94,54
Riley Sheahan,SEA,F,69,4,13,17,0.25,44.5,0.6,0,2,69,16,28
Tomas Nosek,BOS,F,75,3,14,17,0.23,54.9,0.7,0,2,84,85,34
David Savard,MON,D,62,3,14,17,0.27,104.0,1.7,0,1,66,134,127
Brad Hunt,VAN,D,50,3,14,17,0.34,53.9,1.1,2,0,67,22,48
Trevor van Riemsdyk,WAS,D,72,1,16,17,0.24,93.0,1.3,0,1,75,25,129
Jamie Oleksiak,SEA,D,72,1,16,17,0.24,89.2,1.2,0,1,95,182,86
Austin Watson,OTT,F,67,10,6,16,0.24,88.1,1.3,0,1,88,213,63
Casey Cizikas,NYI,F,74,10,6,16,0.22,70.9,0.9,0,1,91,138,43
Luke Glendening,DAL,F,82,9,7,16,0.2,85.0,1.0,0,2,116,179,59
Curtis Lazar,BOS,F,70,8,8,16,0.23,78.1,1.1,0,1,95,186,51
Michael Raffl,DAL,F,76,7,9,16,0.21,65.0,0.9,0,3,94,141,34
Josh Manson,COL,D,67,6,10,16,0.24,84.1,1.3,0,0,92,179,70
Trevor Lewis,CGY,F,80,6,10,16,0.2,71.4,0.9,1,1,108,176,40
Max Comtois,ANH,F,52,6,10,16,0.31,49.8,0.9,2,0,72,111,17
Morgan Frost,PHI,F,55,5,11,16,0.29,49.4,0.9,2,0,85,44,29
Rasmus Sandin,TOR,D,51,5,11,16,0.31,55.4,1.1,3,0,46,88,39
Wayne Simmonds,TOR,F,72,5,11,16,0.22,49.7,0.7,1,0,79,148,11
Andrew Cogliano,COL,F,74,4,12,16,0.22,54.4,0.7,0,2,75,104,31
Marc Staal,DET,D,71,3,13,16,0.23,73.5,1.0,0,0,76,94,75
Radko Gudas,FLA,D,77,3,13,16,0.21,124.0,1.6,0,1,100,355,118
Rasmus Ristolainen,PHI,D,66,2,14,16,0.24,113.7,1.7,1,0,97,230,125
Brandon Tanev,SEA,F,30,9,6,15,0.5,51.4,1.7,2,1,51,98,22
Carl Grundstrom,LA,F,54,9,6,15,0.28,55.2,1.0,0,0,83,134,19
